station longitude latitude elevation
Baccan 105.816666666667 22.1333333333333 174
Bacgiang 106.2 21.2833333333333 7
Baclieu 105.716666666667 9.28333333333333 2
Bacninh 106.05 21.2 5
Batri 106.6 10.0333333333333 12
Bavi 106.4 21.0833333333333 20
BMethuot 108.05 12.6833333333333 490
Camau 105.167 9.167 3.2
Canglong 106.2 9.98333333333333 7
Cantho 105.767 10.05 9
Caobang 106.233333333333 22.65 258
Caolanh 105.633333333333 10.4666666666667 2
Chaudoc 105.133333333333 10.7 5
Dacnong 107.683333333333 12 660
Dalat 108.433333333333 11.95 1513
Danang 108.183333333333 16.0333333333333 6
Dienbien 103 21.35 479
Dongha 107.1 16.8333333333333 4.16
Donghoi 106.616666666667 17.4666666666667 7
Dongphu 106.9 11.5333333333333 82
Hadong 105.766666666667 20.9666666666667 5
Hagiang 104.983333333333 22.8166666666667 118
Haiduong 106.3 20.95 2
Hanam 105.416666666667 20.5166666666667 3
Hatinh 105.9 18.35 3
Hoabinh 105.333333333333 20.8166666666667 23
Honggai 107.07 20.97 87
Hue 107.683333333333 16.4 17
Hungyen 106.05 20.6666666666667 4
Kontum 108.017 14.35 536
Laichau 103.15 22.05 244
Langson 106.766666666667 21.8333333333333 258
Lang 105.85 21.0166666666667 5
Laocai 103.95 22.5 99
Mochoa 105.933333333333 10.75 3
Mytho 106.383333333333 10.35 2
Namdinh 106.166666666667 20.4333333333333 3
Nhatrang 109.2 12.25 5
Ninhbinh 105.983333333333 20.2666666666667 2
Phanthiet 108.1 10.9333333333333 9
Phuho 105.233333333333 21.45 36
Phulien 106.633333333333 20.8 113
Phuoclong 106.95 11.8166666666667 245
Phuquy 108.933333333333 10.5166666666667 5
Playcu 108 13.9833333333333 800
Quangngai 108.783333333333 15.1333333333333 8.3
Quynhon 109.216666666667 13.7666666666667 6
Rachgia 105.083333333333 10 1.5
Sapa 103.833333333333 22.3333333333333 1570
Soctrang 105.966666666667 9.6 3.2
Sonla 103.9 21.333 676
Sontay 105.5 21.1333333333333 7
Tamky 108.5 15.55 5
Tansonhoa 105.816666666667 22.1333333333333 0
Tayninh 106.066666666667 11.3166666666667 10
Thaibinh 106.35 20.45 5
Thainguyen 105.833333333333 21.5833333333333 36
Thanhhoa 105.766666666667 19.8166666666667 5
Tramy 108.216666666667 15.35 3
Tuyenquang 105.216666666667 21.8166666666667 42
Tuyhoa 109.2 13.0833333333333 11.6
Viettri 105.416666666667 21.3 17
Vinh 105.666666666667 18.6666666666667 6
Vinhyen 105.6 21.3 10
Vungtau 107.083333333333 10.3333333333333 4
Xuanloc 107.233333333333 10.95 17
Yenbai 104.866666666667 21.7 56
